Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1,Oklahoma City Thunder*,25.2,64,18,65,17,11.15,-0.11,11.04,118.9,107.7,11.2,99.3,0.261,0.426,0.599,0.561,11.2,22.3,0.213,0.519,14.6,74.4,0.184
2,San Antonio Spurs*,25.4,62,20,60,22,8.3,-0.03,8.28,119.6,111.3,8.3,99.9,0.274,0.422,0.595,0.559,11.8,26.2,0.215,0.522,11.5,77.3,0.18
3,Detroit Pistons*,26.1,60,22,60,22,8.16,-0.63,7.53,117.9,109.7,8.2,99.3,0.292,0.345,0.583,0.546,13,30.9,0.223,0.517,14.8,74.2,0.251
4,Boston Celtics*,26.9,56,26,59,23,7.7,-0.33,7.37,120.8,112.7,8.1,94.8,0.207,0.467,0.583,0.553,11.2,29.2,0.167,0.523,11.4,75.7,0.189
5,New York Knicks*,28.1,53,29,56,26,6.33,-0.28,6.05,119.8,113.3,6.5,96.8,0.238,0.428,0.59,0.557,12.1,29.3,0.188,0.541,13.1,76.7,0.206
6,Houston Rockets*,26.5,52,30,54,28,5.22,-0.35,4.87,118.6,113.2,5.4,96.1,0.26,0.35,0.576,0.542,13.3,34.8,0.199,0.53,12.1,74.5,0.189
7,Denver Nuggets*,27.8,54,28,53,29,5.15,-0.17,4.97,122.6,117.4,5.2,98.4,0.294,0.408,0.616,0.577,11.5,23.6,0.237,0.543,10.4,75.3,0.196
8,Charlotte Hornets*,24,44,38,53,29,4.83,-0.35,4.48,119.4,114.4,5,96.8,0.244,0.487,0.589,0.552,13.5,30.5,0.2,0.54,11.6,76.6,0.186
9,Cleveland Cavaliers*,27.2,52,30,51,31,4.11,-0.34,3.78,119.2,115.1,4.1,99.9,0.265,0.442,0.595,0.561,12.2,26.9,0.206,0.543,13.1,74.4,0.209
10,Minnesota Timberwolves*,27.9,49,33,49,33,3.35,-0.28,3.07,116.8,113.5,3.3,100.5,0.285,0.42,0.592,0.559,12.9,25.7,0.215,0.529,13,73.7,0.22
11,Toronto Raptors*,24.8,46,36,48,34,2.83,-0.08,2.75,115.9,113,2.9,98.4,0.265,0.363,0.581,0.546,12.2,25.5,0.204,0.54,14.3,74,0.222
12,Atlanta Hawks*,25.2,46,36,47,35,2.41,-0.03,2.38,116.1,113.7,2.4,101.7,0.234,0.429,0.584,0.554,12.3,24.4,0.181,0.546,13.9,74.5,0.206
13,Miami Heat*,26.2,43,39,47,35,2.33,0.02,2.35,116.7,114.5,2.2,103.4,0.268,0.406,0.58,0.542,11.6,25.4,0.212,0.54,12.8,74.9,0.193
14,Los Angeles Lakers*,28,53,29,45,37,1.76,-0.07,1.68,118.2,116.4,1.8,98.3,0.32,0.394,0.609,0.573,13.2,23.9,0.244,0.555,13,74.3,0.191
15,Phoenix Suns*,26.8,45,37,45,37,1.46,0.28,1.75,115.4,113.9,1.5,97.2,0.225,0.453,0.568,0.537,12.8,28.9,0.176,0.541,14.5,71.9,0.217
16,Los Angeles Clippers*,30,42,40,44,38,1.13,-0.17,0.96,117.3,116.1,1.2,96.5,0.295,0.404,0.602,0.559,13.2,23.7,0.243,0.545,12.9,72.9,0.197
17,Orlando Magic*,24.7,45,37,43,39,0.63,0.17,0.81,114.9,114.3,0.6,100,0.311,0.386,0.576,0.531,12.4,25,0.249,0.545,13.1,75.6,0.223
18,Philadelphia 76ers*,25.5,45,37,41,41,-0.18,-0.09,-0.27,115.4,115.5,-0.1,99.4,0.275,0.391,0.572,0.53,11.9,26.2,0.222,0.541,13.3,72.5,0.212
19,Portland Trail Blazers*,25.2,42,40,40,42,-0.29,0.01,-0.29,114.4,114.7,-0.3,100.5,0.28,0.469,0.57,0.534,14.6,31.3,0.214,0.541,13.5,72.7,0.215
20,Golden State Warriors*,28.6,37,45,40,42,-0.56,0.22,-0.34,115,115.6,-0.6,99,0.238,0.497,0.584,0.549,13.8,25.8,0.192,0.553,14,72.9,0.198
21,New Orleans Pelicans,24.1,26,56,30,52,-4.5,0.24,-4.26,114.4,118.9,-4.5,100.3,0.284,0.355,0.568,0.527,12.2,27,0.222,0.555,12.4,71.4,0.199
22,Chicago Bulls,25.3,31,51,29,53,-5.21,0.12,-5.09,113,118.1,-5.1,102.5,0.246,0.443,0.58,0.547,13.3,23.1,0.191,0.553,11.1,75.5,0.19
23,Dallas Mavericks,26.2,26,56,28,54,-5.51,0.18,-5.33,111.2,116.5,-5.3,101.7,0.287,0.355,0.564,0.527,12.6,23.2,0.217,0.546,11.4,74.1,0.183
