Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Denver Nuggets*,82,243,43.5,87.8,0.496,14.2,35.8,0.396,29.4,52,0.565,20.8,25.8,0.808,9.8,34.2,44,29,6.8,4,12.9,19.1,122.1
2,Miami Heat*,82,240.3,43.7,93.3,0.468,13.7,37.9,0.361,30,55.4,0.542,19.8,25,0.792,11.8,34.5,46.3,29,8.6,4.3,13.7,18.9,120.9
3,San Antonio Spurs*,82,240.6,43.4,89.9,0.483,13.6,37.9,0.359,29.8,52,0.574,19.3,24.6,0.787,11.4,35.6,47,28.1,7.5,5.5,13.5,18.9,119.8
4,Cleveland Cavaliers*,82,240.9,43.3,90,0.482,14.3,39.8,0.36,29,50.2,0.578,18.5,23.9,0.776,11.7,32.7,44.4,28.3,8.5,5,14,19.6,119.5
5,Oklahoma City Thunder*,82,242.1,43.1,89.1,0.484,13.8,37.9,0.365,29.3,51.2,0.572,19,23.2,0.817,9.6,34.6,44.1,25.8,9.7,5.5,12.6,19,119
6,Atlanta Hawks*,82,240.9,43.6,92,0.474,14.6,39.5,0.371,29,52.5,0.552,16.6,21.5,0.774,11,32.6,43.5,30.1,9.4,4.7,14.2,19.7,118.5
7,Minnesota Timberwolves*,82,241.2,42.6,88.5,0.481,13.8,37.2,0.37,28.9,51.4,0.562,19,25.3,0.752,11.1,33,44.1,26.1,8.7,5.8,14.8,21.2,118
8,Detroit Pistons*,82,241.5,43.4,89.5,0.485,11,30.9,0.356,32.4,58.6,0.553,19.9,26.1,0.763,13.1,32.5,45.6,27.8,10.4,6.4,15.1,22,117.8
9,Utah Jazz,82,241.8,42.5,91.1,0.467,12.6,36.7,0.345,29.9,54.4,0.55,19.9,25.3,0.786,12,31.8,43.8,29.6,8.9,3.8,15.5,21.1,117.6
10,New York Knicks*,82,240.9,42.7,89.4,0.478,14.2,38.2,0.373,28.4,51.2,0.556,16.8,21.3,0.792,12.7,32.9,45.6,27.4,8.1,3.9,13.6,20,116.5
11,Chicago Bulls,82,240.9,42.4,90.5,0.469,14.3,40.1,0.356,28.1,50.4,0.559,17.3,22.2,0.776,10.4,34.7,45,28.5,7.6,5,15.3,19,116.3
12,Los Angeles Lakers*,82,240.3,42,83.7,0.502,11.8,32.9,0.359,30.2,50.8,0.595,20.4,26.8,0.763,9.4,31.5,41,25.9,8.5,4.3,14.5,18.5,116.3
13,Charlotte Hornets*,82,240.9,40.9,88.9,0.46,16.4,43.3,0.378,24.6,45.6,0.538,17.8,21.7,0.818,12.8,33.3,46.1,26.3,7,4.5,15.4,19.1,116
14,Philadelphia 76ers*,82,242.4,41.7,90.3,0.462,12.3,35.3,0.349,29.4,55,0.535,20.1,24.8,0.809,11.8,31.9,43.6,24.6,9.1,5.7,13.6,20.3,115.9
15,Orlando Magic*,82,241.8,41,88.3,0.464,11.7,34.1,0.343,29.3,54.2,0.54,22,27.5,0.801,11,32.4,43.4,26.5,8.5,4.7,14.2,21,115.7
16,New Orleans Pelicans,82,241.5,42.1,90.5,0.466,11.1,32.1,0.347,31,58.4,0.531,20.1,25.7,0.784,12.2,31.7,43.9,25.1,8.9,5.2,14.2,19.9,115.5
17,Portland Trail Blazers*,82,240.9,40.9,90.1,0.453,14.5,42.2,0.343,26.4,47.9,0.551,19.3,25.2,0.765,14.1,31.9,46,25.1,8.3,5.5,17.3,19.9,115.5
18,Houston Rockets*,82,242.7,43,89.8,0.479,11.5,31.5,0.364,31.5,58.3,0.54,17.8,23.4,0.763,15,33.1,48.1,25.4,8.5,5.8,15.4,18.3,115.2
19,Boston Celtics*,82,240.6,42.1,90.2,0.467,15.5,42.1,0.367,26.7,48.1,0.555,15.1,18.7,0.807,12.5,33.9,46.4,24.6,7.1,5,12.4,19,114.9
20,Memphis Grizzlies,82,240.6,41.3,90.6,0.456,13.9,39.5,0.353,27.4,51.1,0.536,18,22.8,0.793,11.2,31,42.1,27.8,8.8,4.8,15.1,20.5,114.7
21,Golden State Warriors*,82,241.5,40.9,88.8,0.461,15.7,44.1,0.356,25.3,44.7,0.565,17,21.1,0.807,11.4,31,42.3,28.9,9.7,4.2,15.7,19.6,114.6
22,Toronto Raptors*,82,241.2,42.6,88.4,0.482,11.4,32.1,0.354,31.3,56.3,0.555,18,23.4,0.769,10.9,31.2,42.1,29.5,8.8,4.8,13.7,20.9,114.6
23,Dallas Mavericks,82,242.1,41.9,89.8,0.466,11,31.9,0.344,30.9,57.9,0.533,19.5,25.8,0.755,10.5,34.2,44.7,25.3,7.5,5.2,14.5,18.4,114.1
24,Los Angeles Clippers*,82,241.2,40.5,83.6,0.484,12.4,33.8,0.368,28.1,49.8,0.564,20.3,24.7,0.823,9.6,31,40.6,23.7,9,4.9,14.3,18.9,113.8
25,Washington Wizards,82,240.9,41.8,90.4,0.463,13,36.4,0.359,28.8,54,0.533,16.2,21.2,0.766,11,30.9,41.9,25,8,5.5,15.7,21.3,112.9
26,Phoenix Suns*,82,240.9,41,90.1,0.455,14.8,40.8,0.361,26.2,49.3,0.533,15.8,20.3,0.781,13,30.1,43.1,24.6,9.5,4.2,14.5,20.6,112.6
27,Indiana Pacers,82,240.9,40.8,89.1,0.458,13.4,37.6,0.356,27.4,51.5,0.533,17.4,22.5,0.776,9.8,32.1,41.9,27.7,7.4,4.6,14.5,20.9,112.4
28,Sacramento Kings,82,240.9,41.6,89,0.467,10.3,30.2,0.34,31.3,58.8,0.532,17.6,22.8,0.772,11.5,30.8,42.3,25.5,8,4.5,14.3,19.7,111
29,Milwaukee Bucks,82,240.9,40.8,85.5,0.477,15.1,39.1,0.387,25.7,46.4,0.553,13.9,19.1,0.73,8.9,31.8,40.7,25.8,7.4,4,15.2,19.7,110.6
30,Brooklyn Nets,82,240.9,37.5,84.5,0.443,13.1,38.4,0.34,24.4,46.1,0.528,17.9,23,0.78,10.3,29,39.3,25,8,4.3,15.8,21.1,105
