Season,Team,G,Age,W,L,PW,PL,Pace,FTr,3PAr,OFF_eFG%,DEF_eFG%,OFF_TOV%,DEF_TOV%,ORB%,DRB%,OFF_FT/FGA,DEF_FT/FGA,pyth_diff
2014,Los Angeles Clippers,82,28.1,57,25.0,59,23,95.9,0.353,0.291,0.526,0.484,12.7,13.8,25.0,72.5,0.258,0.222,-2
2014,Houston Rockets,82,25.4,54,28.0,53,29,96.3,0.386,0.33,0.531,0.489,14.6,12.5,27.4,74.1,0.275,0.193,1
2014,Minnesota Timberwolves,82,26.3,40,42.0,48,34,97.3,0.321,0.245,0.486,0.518,12.2,14.8,27.4,74.4,0.249,0.177,-8
2014,Portland Trail Blazers,82,25.8,54,28.0,52,30,94.9,0.27,0.29,0.504,0.488,12.4,10.9,28.0,74.7,0.22,0.194,2
2014,Oklahoma City Thunder,82,26.2,59,23.0,58,24,95.4,0.303,0.271,0.52,0.488,14.0,13.9,26.5,75.6,0.244,0.221,1
2014,San Antonio Spurs,82,28.9,62,20.0,61,21,95.0,0.24,0.257,0.537,0.482,13.5,12.8,22.7,76.4,0.188,0.184,1
2014,Phoenix Suns,82,26.2,48,34.0,48,34,95.8,0.293,0.3,0.519,0.496,14.0,13.9,26.4,73.7,0.222,0.237,0
2014,Dallas Mavericks,82,30.6,49,33.0,48,34,93.5,0.253,0.274,0.526,0.515,12.7,14.8,24.6,72.7,0.201,0.229,1
2014,Denver Nuggets,82,26.0,36,46.0,35,47,98.1,0.306,0.278,0.497,0.5,14.0,12.8,27.5,74.5,0.222,0.233,1
2014,Golden State Warriors,82,26.3,51,31.0,54,28,96.2,0.247,0.291,0.517,0.477,13.8,13.6,25.1,76.3,0.186,0.224,-3
2014,Los Angeles Lakers,82,26.8,27,55.0,25,57,98.7,0.263,0.291,0.505,0.513,13.7,12.4,20.2,71.0,0.199,0.192,2
2014,Miami Heat,82,30.6,54,28.0,54,28,91.2,0.3,0.292,0.554,0.511,14.6,15.8,20.6,73.0,0.228,0.212,0
2014,Toronto Raptors,82,25.6,48,34.0,50,32,91.8,0.306,0.285,0.498,0.493,13.2,14.1,27.2,74.9,0.239,0.237,-2
2014,Detroit Pistons,82,24.7,29,53.0,31,51,94.9,0.296,0.222,0.482,0.52,12.9,13.8,31.4,73.4,0.199,0.218,-2
2014,Atlanta Hawks,82,27.5,38,44.0,40,42,94.6,0.266,0.316,0.515,0.51,14.3,14.0,21.0,74.4,0.208,0.196,-2
2014,Washington Wizards,82,26.3,44,38.0,45,37,93.2,0.248,0.246,0.506,0.504,13.6,15.0,25.2,75.7,0.181,0.22,-1
2014,Sacramento Kings,82,24.9,28,54.0,33,49,94.4,0.331,0.218,0.484,0.512,13.9,12.7,27.8,76.6,0.251,0.234,-5
2014,New Orleans Pelicans,82,24.3,34,48.0,33,49,92.2,0.286,0.193,0.495,0.515,12.9,13.6,26.9,73.8,0.22,0.249,1
2014,Philadelphia 76ers,82,23.4,19,63.0,16,66,99.2,0.268,0.258,0.475,0.524,14.8,14.9,24.8,72.4,0.19,0.244,3
2014,New York Knicks,82,28.3,37,45.0,39,43,90.3,0.248,0.302,0.505,0.514,12.5,14.0,25.1,74.3,0.189,0.245,-2
2014,Brooklyn Nets,82,30.0,44,38.0,38,44,91.4,0.313,0.301,0.514,0.509,14.1,14.9,21.7,72.3,0.236,0.236,6
