PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
A.J. Lawson,TOR,26,18.7,3.3,1.00,3.6,31.2,1.1,3.6,31.2,46.8
AJ Green,MIL,73,22.7,5,2.00,3.8,44.2,1.7,3.7,44.5,66.1
AJ Johnson,WAS,29,22,1.4,1.00,1.8,26.9,0.5,1.8,27.5,40.4
Aaron Gordon,DEN,51,28.4,3.6,1.00,2.6,48.1,1.1,2.3,45.4,68.4
Aaron Holiday,HOU,62,12.8,2.8,1.00,2.2,41.6,0.9,2.2,42.2,62.4
Aaron Nesmith,IND,45,24.9,4.8,2.00,3.6,45.1,1.6,3.6,44.7,67.3
Aaron Wiggins,OKC,76,22.9,4.4,2.00,3.8,38.9,1.4,3.7,39.1,58.1
Adam Flagler,OKC,37,5.5,0.7,0.00,1.4,18,0.2,1.4,18,27
Adama Sanogo,CHI,4,5.4,0,0.00,0,-,-,-,-,-
Adem Bona,PHI,58,15.6,0,0.00,0,0,0,0,0,0
Ajay Mitchell,OKC,36,16.6,1.9,1.00,1.5,42.6,0.6,1.4,40.4,62
Al Horford,BOS,60,27.6,5.6,2.00,5.3,35.6,1.8,5.1,35.9,53
Alec Burks,MIA,49,17.6,4.3,1.00,3.4,42.2,1.4,3.4,42.4,63.3
Alex Caruso,OKC,54,19.3,3.1,1.00,2.8,37.6,1,2.7,37.7,56
Alex Ducas,OKC,21,6,1.4,1.00,1,47.6,0.5,1,50,71.4
Alex Len,LAL,46,8.3,0.2,0.00,0.3,20,0,0.2,12.5,23.3
Alex Reese,PHI,15,14.4,3.1,1.00,2.7,39,1,2.7,37.5,57.3
Alex Sarr,WAS,67,27.1,4.6,2.00,5.1,30.1,1.5,4.8,30.9,44.6
Alondes Williams,LAC,1,3.7,3,1.00,1,100,1,1,100,150
Alperen Sengun,HOU,76,31.5,2,1.00,2.4,36.9,0.2,0.9,25.4,41.9
Amen Thompson,HOU,69,32.3,1.1,0.00,1.4,29.5,0.3,1.1,29.5,41.6
Amir Coffey,LAC,72,24.3,3.9,1.00,3.1,42,1.3,3,42.1,62.2
Andre Drummond,PHI,40,18.8,0.3,0.00,0.6,20.8,0.1,0.5,16.7,27.1
Andre Jackson Jr.,MIL,67,14.6,1.2,0.00,1,39.7,0.4,1,38.8,58.8
Andrew Nembhard,IND,65,28.9,2.1,1.00,2.4,32.7,0.6,2,30,45.4
Andrew Wiggins,MIA,60,30.7,4.8,2.00,4.1,39.3,1.6,4,39.4,58.8
Anfernee Simons,POR,70,32.7,5,2.00,4.4,37.6,1.6,4.3,37.7,55.8
Anthony Black,ORL,78,24.2,1.9,1.00,1.9,34.2,0.6,1.8,33.3,50.7
Anthony Davis,DAL,51,33.4,3.1,1.00,3.6,35.7,0.6,1.9,30.3,44
Anthony Edwards,MIN,79,36.3,3.4,1.00,2.7,42.8,1.1,2.6,42.1,63.3
Anthony Gill,WAS,51,7.8,0.6,0.00,0.6,33.3,0.2,0.6,33.3,50
Anton Watson,NYK,9,2.5,0.2,0.00,0.2,50,0,0.1,0,50
Antonio Reeves,NOP,44,15,2.8,1.00,2.2,42.3,0.9,2.2,42.3,63.4
Ariel Hukporti,NYK,25,8.7,0,0.00,0,0,-,-,-,0
Armel Traore,LAL,9,7.4,0,0.00,0.8,0,0,0.8,0,0
Ausar Thompson,DET,59,22.5,0.5,0.00,0.7,23.8,0.2,0.7,24.4,35.7
Austin Reaves,LAL,73,34.9,4.8,2.00,4,39.9,1.6,3.9,39.9,59.6
Ayo Dosunmu,CHI,46,30.3,3.6,1.00,3.5,34,1.2,3.5,34,50.6
Bam Adebayo,MIA,78,34.3,3.9,2.00,3.9,40,0.8,2.2,36.8,50.5
Baylor Scheierman,BOS,31,12.4,2,1.00,2.2,31.3,0.6,2.1,30.3,46.3
Ben Sheppard,IND,63,19.5,3.1,1.00,2.9,35.5,1,2.8,35.8,53
Ben Simmons,LAC,51,22,0,0.00,0.1,33.3,-,-,-,33.3
Bennedict Mathurin,IND,72,29.9,2.3,1.00,1.8,43.6,0.7,1.7,41.3,62.4
Bilal Coulibaly,WAS,59,33,2.6,1.00,3.2,27.4,0.8,3.1,27.6,40.9
Bismack Biyombo,SAS,28,18.8,0,0.00,0.1,0,-,-,-,0
Blake Wesley,SAS,58,11.8,0.8,0.00,0.9,27.3,0.3,0.9,28.8,40.9
Bobby Portis,MIL,49,25.4,4.6,2.00,4.6,37.5,1.2,3.4,35.1,50.7
Bobi Klintman,DET,8,5.3,0.6,0.00,0.6,40,0.1,0.5,25,50
Bogdan Bogdanović,LAC,54,25,4.4,2.00,4,37.5,1.4,3.8,36.9,54.9
Bol Bol,PHX,36,12.5,2.6,1.00,2.3,40.7,0.7,2,36.6,56.8
Bones Hyland,MIN,24,9.9,1.1,0.00,1.1,34.6,0.4,1.1,34.6,51.9
Bradley Beal,PHX,53,32.1,4.5,2.00,3.8,40.6,1.4,3.5,40.6,59.4
Branden Carlson,OKC,32,7.7,2.1,1.00,2,33.8,0.7,2,34.4,50.8
Brandin Podziemski,GSW,64,26.8,3.5,1.00,2.9,39.4,1.1,2.9,39.7,58.8
Brandon Boston,NOP,42,23.6,2.6,1.00,2.1,43.7,0.8,2,41,63.2
Brandon Clarke,MEM,64,18.9,0.5,0.00,0.7,34,0,0.3,5.9,35.1
Brandon Ingram,TOR,18,33.1,5.3,2.00,4.3,42.3,1.6,3.9,40.8,60.9
Brandon Miller,CHA,27,34.2,8.2,3.00,7.1,38.5,2.7,7.1,38.2,57.6
Brandon Williams,DAL,33,14.8,1.7,1.00,1.2,47.5,0.5,1.1,48.6,70
Braxton Key,GSW,3,3.6,0,0.00,0.3,0,0,0.3,0,0
Brice Sensabaugh,UTA,71,20.2,5,2.00,3.9,43.3,1.7,3.8,43.7,64.7
Bronny James,LAL,27,6.7,0.3,0.00,0.6,18.8,0.1,0.6,20,28.1
Brook Lopez,MIL,80,31.8,5.6,2.00,5.1,38,1.7,4.5,37.2,54.1
Bruce Brown,NOP,41,22.5,2,1.00,2.2,33.3,0.6,1.8,32,46.7
Bruno Fernando,TOR,17,8.6,0.1,0.00,0.3,20,-,-,-,20
Bryce McGowens,POR,13,2.5,0,0.00,0.2,0,0,0.2,0,0
Bub Carrington,WAS,82,30,2.5,1.00,2.6,32.7,0.8,2.5,32.5,48.2
Buddy Hield,GSW,82,22.7,5.6,2.00,4.8,39.1,1.8,4.7,39.1,58.1
CJ McCollum,NOP,56,32.7,5.2,2.00,4.3,41.3,1.7,4.1,40.1,60.5
Cade Cunningham,DET,70,35,2.6,1.00,2.2,39.1,0.8,2.1,39.2,57.7
Caleb Houstan,ORL,58,13.6,3.1,1.00,2.6,40,1,2.6,39.9,59.7
Caleb Martin,DAL,45,27.1,2.4,1.00,2.3,37.3,0.7,1.8,41.3,53.4
Cam Christie,LAC,13,4.5,0.5,0.00,0.5,28.6,0.2,0.5,28.6,42.9
Cam Reddish,LAL,33,17.9,1.2,0.00,1.4,27.7,0.4,1.3,29.5,41.5
Cam Spencer,MEM,25,10.1,1.7,1.00,1.6,35,0.6,1.6,35.9,52.5
