Player,Age,Team,Pos,G,GS,MP,DRB,STL,BLK,PF
Mikal Bridges,28,NYK,SF,82.00,82,3036,2.2,0.9,0.5,1.5
Josh Hart,29,NYK,SG,77.00,77,2897,7.2,1.5,0.3,2.5
Anthony Edwards,23,MIN,SG,79.00,79,2871,4.9,1.1,0.6,1.9
Devin Booker,28,PHO,SG,75.00,75,2795,2.9,0.9,0.2,2.6
James Harden,35,LAC,PG,79.00,79,2789,5.2,1.5,0.7,2.1
DeMar DeRozan,35,SAC,SF,77.00,77,2768,3.2,0.8,0.4,2
Trae Young,26,ATL,PG,76.00,76,2739,2.6,1.2,0.2,1.9
Tyler Herro,25,MIA,SG,77.00,77,2725,4.8,0.9,0.2,1.1
OG Anunoby,27,NYK,PF,74.00,74,2706,3.5,1.5,0.9,2.3
Jalen Green,22,HOU,SG,82.00,82,2697,4.4,0.9,0.4,1.7
Christian Braun,23,DEN,SG,79.00,77,2675,4.2,1.1,0.5,2.3
Bam Adebayo,27,MIA,C,78.00,78,2674,7.6,1.3,0.7,2.2
Ivica Zubac,27,LAC,C,80.00,80,2624,9.7,0.8,1.2,2.3
Jayson Tatum,26,BOS,PF,72.00,72,2624,7.9,1,0.5,2.2
Jaden McDaniels,24,MIN,PF,82.00,82,2614,4.7,1.5,1,3.1
Keegan Murray,24,SAC,PF,76.00,76,2610,5,0.8,1,2.6
Zach LaVine,29,2TM,SG,74.00,74,2602,4.1,0.8,0.2,1.7
Shai Gilgeous-Alexander,26,OKC,PG,76.00,76,2598,4.3,1.8,1.1,2.3
Michael Porter Jr.,26,DEN,SF,77.00,77,2593,5.6,0.7,0.5,2.2
Derrick White,30,BOS,SG,76.00,76,2574,3.8,1,1.1,1.9
Dyson Daniels,21,ATL,SG,76.00,76,2571,4.6,3.2,0.8,2.5
Nikola Jokić,29,DEN,C,70.00,70,2571,9.7,1.8,0.6,2.2
Austin Reaves,26,LAL,SG,73.00,73,2550,3.8,1.1,0.3,2.1
Toumani Camara,24,POR,PF,78.00,78,2548,3.9,1.6,0.7,3.2
Pascal Siakam,30,IND,PF,78.00,78,2548,5.8,1,0.6,2.7
Brook Lopez,36,MIL,C,80.00,80,2546,4.1,0.7,2.1,2.4
Karl-Anthony Towns,29,NYK,C,72.00,72,2517,10.1,1,0.7,3.6
Bub Carrington,19,WAS,PG,82.00,57,2458,4.5,0.8,0.3,2.8
Cade Cunningham,23,DET,PG,70.00,70,2452,5.4,1,0.8,2.9
Tyrese Haliburton,24,IND,PG,73.00,73,2451,3.2,1.5,0.7,1.4
Coby White,24,CHI,SG,74.00,73,2450,3.6,1,0.2,2.3
LeBron James,40,LAL,SF,70.00,70,2444,7,1,0.6,1.5
Domantas Sabonis,28,SAC,C,70.00,70,2429,10.4,0.7,0.4,3.4
Jamal Murray,27,DEN,PG,67.00,67,2418,3.2,1.4,0.5,1.9
Alperen Şengün,22,HOU,C,76.00,76,2395,7.9,1.3,0.9,3.1
Dillon Brooks,29,HOU,SF,75.00,75,2388,3,0.9,0.2,3.6
Rudy Gobert,32,MIN,C,72.00,72,2388,7.8,0.8,1.6,2.7
Tobias Harris,32,DET,PF,73.00,73,2305,5.7,1.2,0.9,2.2
Darius Garland,25,CLE,PG,75.00,75,2301,2.6,1.4,0.2,2.2
Jalen Brunson,28,NYK,PG,65.00,65,2301,2.5,0.9,0.1,2.2
Jarrett Allen,26,CLE,C,82.00,82,2296,9.1,1.2,1.1,2
Chris Paul,39,SAS,PG,82.00,82,2292,4.1,1.6,0.3,2.4
Anfernee Simons,25,POR,SG,70.00,70,2292,2.6,0.9,0.1,1.8
