Player,Team,GP,MIN,W,L,STL,BLK,DREB,DFGM,DFGA,DFG%
A.J. Lawson,TOR,26,18.7,14.00,12,0.5,0.2,2.5,0.9,1.2,76.7
AJ Green,MIL,73,22.7,44.00,29,0.5,0.1,2.1,1.3,1.8,74.2
AJ Johnson,WAS,29,22,8.00,21,0.4,0.1,1.8,2.2,3,74.4
Aaron Gordon,DEN,51,28.4,33.00,18,0.5,0.3,3.3,2.1,3,68.6
Aaron Holiday,HOU,62,12.8,39.00,23,0.3,0.2,1,0.7,1.1,63.8
Aaron Nesmith,IND,45,24.9,29.00,16,0.8,0.4,3.1,1.5,2.8,55.6
Aaron Wiggins,OKC,76,22.9,62.00,14,0.8,0.2,2.8,1.8,2.6,68.7
Adam Flagler,OKC,37,5.5,34.00,3,0.2,0.1,0.5,0.2,0.3,80
Adama Sanogo,CHI,4,5.4,2.00,2,0,0,0.3,0.8,1.8,42.9
Adem Bona,PHI,58,15.6,12.00,46,0.4,1.2,2.6,2.1,3.7,56.9
Ajay Mitchell,OKC,36,16.6,31.00,5,0.7,0.1,1.4,0.8,1,75
Al Horford,BOS,60,27.6,44.00,16,0.6,0.9,4.8,2.2,3.5,62.7
Alec Burks,MIA,49,17.6,26.00,23,0.6,0.1,2.2,0.9,1.3,66.7
Alex Caruso,OKC,54,19.3,44.00,10,1.6,0.6,2.2,0.9,1.7,53.8
Alex Ducas,OKC,21,6,20.00,1,0.2,0,0.8,0.3,0.4,87.5
Alex Len,LAL,46,8.3,21.00,25,0.2,0.5,1.2,1,1.6,64
Alex Reese,PHI,15,14.4,4.00,11,0.7,0.7,2.5,2.5,3.7,67.3
Alex Sarr,WAS,67,27.1,13.00,54,0.7,1.5,4.6,5,8,62.2
Alondes Williams,LAC,1,3.7,0.00,1,0,0,0,0,0,0
Alperen Sengun,HOU,76,31.5,52.00,24,1.1,0.8,6.9,4.1,6.9,58.5
Amen Thompson,HOU,69,32.3,43.00,26,1.4,1.3,5.4,1.8,3.1,56.8
Amir Coffey,LAC,72,24.3,41.00,31,0.6,0.1,1.8,1.2,1.6,74.6
Andre Drummond,PHI,40,18.8,12.00,28,1,0.5,5,2.3,3.3,70.2
Andre Jackson Jr.,MIL,67,14.6,39.00,28,0.5,0.2,1.7,0.9,1.3,68.6
Andrew Nembhard,IND,65,28.9,44.00,21,1.2,0.2,2.8,1.5,2.3,68
Andrew Wiggins,MIA,60,30.7,27.00,33,1,0.8,3,1.7,2.7,63
Anfernee Simons,POR,70,32.7,28.00,42,0.9,0.1,2.3,1.9,2.4,76.9
Anthony Black,ORL,78,24.2,39.00,39,1.1,0.6,2.3,1.6,2.2,71.3
Anthony Davis,DAL,51,33.4,30.00,21,1.2,2.2,8.9,3.4,6,57
Anthony Edwards,MIN,79,36.3,48.00,31,1.2,0.6,4.9,1.7,2.6,66.5
Anthony Gill,WAS,51,7.8,7.00,44,0.2,0,0.9,0.3,0.5,55.6
Anton Watson,NYK,9,2.5,5.00,4,0.1,0,0.2,0.6,0.6,100
Antonio Reeves,NOP,44,15,6.00,38,0.5,0.1,1,1,1.3,76.8
Ariel Hukporti,NYK,25,8.7,17.00,8,0,0.6,1.5,1.3,2.4,54.2
Armel Traore,LAL,9,7.4,5.00,4,0.4,0.2,1.4,0.7,1.2,54.5
Ausar Thompson,DET,59,22.5,34.00,25,1.7,0.7,3.3,1.1,1.7,61.4
Austin Reaves,LAL,73,34.9,46.00,27,1.1,0.3,3.7,2.5,3.3,75.4
Ayo Dosunmu,CHI,46,30.3,17.00,29,0.9,0.4,2.9,1.7,2.6,63.9
Bam Adebayo,MIA,78,34.3,36.00,42,1.3,0.7,7.2,3,4.2,71.4
Baylor Scheierman,BOS,31,12.4,27.00,4,0.5,0.1,1.5,0.7,1,71.9
Ben Sheppard,IND,63,19.5,40.00,23,0.6,0.2,2.1,0.9,1.3,67.5
Ben Simmons,LAC,51,22,26.00,25,0.7,0.5,3.8,1.2,1.8,65.2
Bennedict Mathurin,IND,72,29.9,43.00,29,0.7,0.3,4.1,2.4,3.5,68.5
Bilal Coulibaly,WAS,59,33,13.00,46,1.3,0.7,3.4,2.1,3.2,64
Bismack Biyombo,SAS,28,18.8,10.00,18,0.6,0.8,4.1,2.3,4.3,52.9
Blake Wesley,SAS,58,11.8,23.00,35,0.6,0.1,0.8,0.4,0.6,78.1
Bobby Portis,MIL,49,25.4,30.00,19,0.7,0.5,6.6,2.6,3.7,69.1
Bobi Klintman,DET,8,5.3,4.00,4,0.3,0.1,0.8,0,0.3,0
Bogdan Bogdanović,LAC,54,25,33.00,21,0.8,0.2,2.5,1.7,2.3,73.6
Bol Bol,PHX,36,12.5,10.00,26,0.3,0.7,2.3,0.8,1.4,61.2
Bones Hyland,MIN,24,9.9,11.00,13,0.8,0.2,0.8,0.5,0.7,64.7
Bradley Beal,PHX,53,32.1,22.00,31,1.1,0.5,2.7,2.2,2.9,77
Branden Carlson,OKC,32,7.7,29.00,3,0.2,0.7,1.2,1,1.8,58.9
Brandin Podziemski,GSW,64,26.8,38.00,26,1.1,0.2,4.1,1.4,2,66.4
Brandon Boston,NOP,42,23.6,8.00,34,1.3,0.2,2.5,1.5,1.9,81.3
Brandon Clarke,MEM,64,18.9,40.00,24,0.8,0.6,3.1,1.6,2.8,56.1
Brandon Ingram,TOR,18,33.1,5.00,13,0.9,0.6,4.6,2.4,3.5,69.8
Brandon Miller,CHA,27,34.2,8.00,19,1.1,0.7,3.9,2.1,3.6,58.3
Brandon Williams,DAL,33,14.8,15.00,18,0.7,0.2,1.4,1.3,1.9,69.8
Braxton Key,GSW,3,3.6,3.00,0,0.7,0,0.3,0.3,0.3,100
